0,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK
2000-01-01,56142.5,2766.8,14021.866666666665,37033.3,469034.5,1283.3,22572.7,30451.15,139780.5,325570.6666666667,4519.75,263886.13333333336,2337.066666666667,1694.9666666666667,2412.4000000000005,5066.400000000001,10110.116666666667,911.2000000000003,98731.2,45882.40000000001,38113.4,27174.149999999998,7718.25,4608.2,4689.75,28180.000000000004,59840.95,392482.24999999994
2000-04-01,57719.0,2947.8,14947.333333333332,38045.5,473509.0,1383.65,23939.95,31335.4,145502.0,330878.6666666667,4786.000000000001,276195.26666666666,2498.5333333333333,1921.0666666666666,2760.9333333333334,5075.133333333333,10736.516666666665,978.8000000000001,100736.55,47462.6,39409.8,27925.15,8804.349999999999,4792.000000000001,5017.1,29540.33333333333,64248.5,396617.5
2000-07-01,57027.0,3381.1000000000004,15661.466666666667,38063.25,481614.5,1370.0999999999997,24247.849999999995,32836.600000000006,146096.5,328161.6666666667,5143.9,272969.6333333333,2491.0,1990.6333333333334,2885.0999999999995,5135.966666666666,11255.883333333333,1004.4499999999999,101492.35000000002,47988.25000000001,41770.7,28236.350000000002,9725.100000000002,4830.650000000001,5107.7,29851.33333333333,61935.45,401030.25000000006
2000-10-01,59608.5,3473.55,16293.566666666666,40217.1,485142.5,1472.0500000000002,25576.45,33208.55,154942.0,342232.6666666667,5024.699999999999,298322.8333333334,2518.766666666666,2103.2333333333336,3081.2999999999993,5337.666666666666,11727.666666666666,1024.4,105157.95,49481.5,46083.950000000004,29232.250000000004,10090.5,4937.45,5136.95,31628.33333333334,63491.0,412997.5
2001-01-01,58618.5,3109.65,15557.8,38477.950000000004,484100.0,1450.95,26602.999999999996,32111.95,151656.0,342320.6666666667,4972.1,282501.2,2470.133333333333,1868.3,2747.7000000000003,5215.566666666667,11538.050000000001,941.3999999999999,106017.15,48175.15,43905.24999999999,28596.75,8513.3,4893.500000000001,4991.000000000001,30788.333333333332,59324.05,395906.60000000003
2001-04-01,60088.0,3301.8999999999996,17006.3,39393.05,486920.5,1565.1,27151.9,33219.799999999996,159421.5,346305.00000000006,5451.099999999999,292940.7333333333,2626.0333333333338,2159.3333333333335,3144.1,5210.866666666667,13000.433333333332,1023.8,107857.15000000001,49162.5,49004.850000000006,29869.45,10106.599999999999,5120.900000000001,5499.450000000001,31923.999999999996,60893.74999999999,410413.2
2001-07-01,58886.5,3711.2,17622.100000000002,39789.05,496121.5,1560.6999999999998,26804.050000000003,34996.5,158554.0,341819.99999999994,5557.1,286276.1666666667,2718.5,2122.3666666666663,3137.5666666666666,5210.3,13440.083333333336,1061.7499999999998,106639.8,49396.55,45862.4,29788.05,10779.7,5145.349999999999,5574.400000000001,31691.333333333332,56798.09999999999,410029.85
2001-10-01,61003.0,3775.9000000000005,18689.3,40838.15,504165.5,1645.7000000000003,27832.85,35253.15,167192.5,354476.99999999994,5454.549999999999,309711.0,2697.4666666666667,2280.9666666666662,3162.7333333333336,5703.133333333334,14117.266666666666,1001.1,109937.95,50434.2,50262.15,30890.550000000003,11055.6,5265.05,5563.0,32707.33333333333,59867.25000000001,416605.64999999997
2002-01-01,60355.5,3515.2999999999997,18169.56666666667,39647.6,489651.5,1601.8500000000001,28807.500000000004,34171.55,162758.0,353590.3333333333,5550.650000000001,290925.93333333335,2606.5666666666666,2141.8,3040.2999999999997,5568.933333333334,14691.599999999999,1029.1000000000001,109866.85,49183.55,47735.600000000006,30452.15,9670.150000000001,5270.5,5619.650000000001,31175.333333333336,60306.649999999994,425260.6000000001
2002-04-01,61877.5,3725.0999999999995,20319.899999999998,40846.00000000001,494675.5,1740.2500000000005,30365.799999999996,36038.05,170962.0,358085.0,5812.4,302937.5,2723.0,2348.8333333333335,3396.433333333334,5743.499999999999,15424.3,1054.15,112288.44999999998,50341.65,46922.6,31347.599999999995,10680.85,5479.650000000001,5856.45,32908.0,63103.399999999994,417462.14999999997
2002-07-01,60916.5,4125.099999999999,20588.93333333333,40798.75,506594.5,1749.8999999999999,30140.650000000005,37305.75000000001,169110.0,353605.0,6167.0,298511.1,2743.0666666666666,2290.4666666666667,3518.866666666667,5521.700000000001,15570.499999999998,1066.2,112098.30000000002,50878.950000000004,43702.6,31219.550000000003,11272.500000000004,5513.0,5991.05,32272.0,60335.049999999996,421070.1
2002-10-01,63440.5,4087.6000000000004,20529.766666666666,41766.899999999994,509162.5,1827.9499999999996,30963.550000000003,38390.049999999996,179550.0,365267.3333333333,6003.950000000001,321571.4000000001,2816.966666666667,2376.233333333333,3547.266666666667,5703.233333333334,16815.816666666666,1042.2500000000002,114158.45000000001,51876.1,47232.5,31773.600000000002,11945.650000000003,5638.200000000002,6346.0,33665.666666666664,64072.5,429707.0
2003-01-01,62143.5,3603.2,19175.933333333334,40920.75,491186.5,1820.3,30881.9,37463.8,173928.0,364919.3333333333,6041.700000000001,300651.2666666667,2744.933333333334,2179.833333333333,3441.766666666667,5620.9333333333325,15395.283333333335,1030.45,113485.35,50536.1,42078.00000000001,31169.250000000004,9924.500000000002,5500.749999999999,6312.9,31733.666666666664,63283.49999999999,415963.7
2003-04-01,63529.0,3871.7999999999997,20453.266666666666,41061.399999999994,494236.5,1951.6499999999999,32141.500000000004,39426.85,182401.5,364750.6666666667,6355.65,312902.0333333333,2809.4333333333334,2329.9666666666662,3696.066666666667,5828.1,16091.033333333333,1064.5,115132.55000000002,51510.30000000001,42090.55000000001,31925.300000000003,10990.199999999999,5774.05,6740.050000000001,33048.333333333336,64721.85,395054.75
2003-07-01,62724.5,4346.7,20223.899999999998,41293.25000000001,510123.0,1954.45,31707.3,41433.50000000001,181012.5,363059.6666666666,6736.1,310429.9,2901.3999999999996,2426.366666666667,3847.0666666666666,5710.099999999999,16032.016666666665,1099.35,113195.65000000001,52143.799999999996,41781.25,31901.25,12654.750000000002,5855.650000000001,6855.25,33049.0,63697.4,404967.35
2003-10-01,65415.0,4419.750000000001,20774.466666666667,43038.35,511173.0,2057.4,33853.80000000001,42270.0,190343.0,377226.6666666666,6362.15,334344.8333333334,2963.3,2452.8333333333335,3948.8666666666663,6289.833333333335,17314.266666666666,1057.75,116880.04999999999,53093.3,43120.4,32823.4,13099.099999999999,5890.149999999999,7081.4,34411.99999999999,67628.1,413886.14999999997
2004-01-01,64942.5,4021.7999999999997,19604.16666666667,42107.100000000006,503106.0,2029.1,33551.45,41846.799999999996,185455.0,380311.3333333333,6571.449999999999,311627.43333333335,2902.2666666666664,2339.666666666667,3638.600000000001,5990.200000000001,15980.183333333336,1013.2,116444.55,52554.850000000006,40146.34999999999,32465.100000000006,10958.35,5769.3,7189.299999999999,33096.0,65548.35,428676.05000000005
2004-04-01,66959.0,4304.4,21201.466666666667,43245.55,512249.5,2130.2000000000003,34470.0,43215.299999999996,194430.5,382269.3333333333,7019.4000000000015,328103.3,3024.6,2634.5666666666666,4084.2,6170.5,18159.683333333334,1073.65,118371.35,53767.5,43592.350000000006,33386.85,12694.849999999999,6100.599999999999,7614.550000000001,34623.0,68413.5,438125.05
2004-07-01,66153.0,4800.799999999999,22158.566666666662,43257.1,518400.0,2197.95,33522.45,45298.9,192828.5,376895.99999999994,7410.799999999999,320137.4333333333,3135.8000000000006,2718.866666666667,4243.4333333333325,6148.4333333333325,18578.866666666672,1094.35,117095.50000000001,54309.75,46042.50000000001,33181.75000000001,14516.549999999997,6187.650000000001,7962.9,34421.33333333333,66876.1,440908.3
2004-10-01,68988.5,4761.35,23922.53333333333,44959.15,520225.0,2247.7000000000003,35353.50000000001,44578.55,203479.0,391542.0,6971.200000000001,346419.3666666667,3200.566666666666,2767.8333333333335,4510.400000000001,6527.866666666667,19023.899999999998,1078.35,120537.55,55186.899999999994,52839.30000000001,34235.95,16309.65,6223.950000000001,8314.300000000001,36611.666666666664,70735.59999999999,432619.80000000005
2005-01-01,67847.5,4504.299999999999,22992.733333333337,43409.05,507603.5,2298.1,36481.15,42660.299999999996,199190.5,393367.3333333333,7090.549999999999,319889.36666666664,3123.3,2638.4333333333334,4175.733333333334,6282.166666666666,18459.88333333334,1043.9499999999998,120424.55,54363.25,52145.89999999999,33624.350000000006,14455.35,6036.6,8229.299999999997,34683.666666666664,67982.3,440134.3
2005-04-01,69806.0,4877.6,24327.63333333334,45492.899999999994,518569.5,2455.4500000000003,37341.850000000006,44602.850000000006,207998.0,396232.0,7684.000000000001,335763.30000000005,3235.133333333333,2932.9333333333334,4630.0,6554.666666666667,19259.983333333334,1120.1,123109.24999999999,56299.74999999999,51948.9,34465.7,16672.350000000002,6507.75,8563.449999999999,35864.333333333336,70150.34999999999,456875.7
2005-07-01,68805.0,5378.550000000001,25024.1,45374.8,527123.0,2555.0499999999997,36800.3,45752.2,208717.0,389385.6666666667,7998.299999999999,329480.5,3347.1,3199.066666666666,4947.466666666666,6661.2333333333345,19926.133333333335,1156.65,121619.59999999999,56788.8,53881.149999999994,34207.350000000006,19283.6,6534.5,8980.45,35778.33333333332,67476.1,458340.9
2005-10-01,72041.0,5499.3,26712.233333333334,46570.25,527064.5,2663.45,38365.799999999996,45935.05,218341.5,405920.3333333334,7764.549999999998,358821.73333333334,3435.5333333333333,3423.9666666666662,5262.533333333334,7165.2,20609.983333333337,1145.85,126112.34999999999,58328.549999999996,58464.3,35302.1,20489.95,6587.6,9150.75,37294.666666666664,70184.84999999999,474385.19999999995
2006-01-01,71042.0,4997.899999999999,25850.066666666662,46114.1,525460.5,2726.5,39776.549999999996,45819.65,214530.5,406690.33333333326,7954.699999999999,330000.39999999997,3380.0,3289.3999999999996,4762.3,7380.766666666666,19176.316666666666,1100.5,127537.59999999998,57384.19999999999,57969.0,34639.6,17984.2,6456.9,9413.4,36098.00000000001,70621.7,477532.25000000006
2006-04-01,73005.5,5400.800000000001,27826.833333333332,48610.0,535801.5,2925.6,40819.85,48147.95,225667.0,414151.3333333333,8401.75,348399.33333333326,3534.933333333333,3686.6,5226.066666666667,7508.833333333332,19467.633333333335,1166.85,130460.5,59334.399999999994,57664.5,35921.75,20486.05,6944.5,9961.35,37397.00000000001,74092.55000000002,472863.45000000007
2006-07-01,72122.5,6170.7,28672.03333333333,48183.100000000006,549422.5,3033.7500000000005,40294.8,48922.15000000001,226291.5,408208.33333333326,8788.7,341029.3666666666,3577.133333333333,3986.833333333333,5708.500000000001,7439.7,19499.116666666665,1210.7499999999998,128742.64999999998,60233.600000000006,58824.19999999999,35796.450000000004,22857.65,7122.3,10339.800000000001,37476.666666666664,73173.65,488454.25000000006
2006-10-01,75661.0,6304.799999999999,30347.600000000002,48626.24999999999,554606.0,3206.4,41159.450000000004,50224.850000000006,233603.0,426306.6666666667,8427.7,369016.60000000003,3672.5,4312.900000000001,6049.166666666668,8003.666666666667,21628.43333333333,1205.6,133891.45,62323.7,65862.2,37221.59999999999,25393.149999999998,7239.900000000001,11369.849999999999,39503.33333333333,77645.6,499269.1
2007-01-01,75380.5,6111.400000000001,29219.633333333335,48043.55,552746.5,3323.0499999999997,43412.35,48402.15000000001,231707.0,428788.00000000006,8753.6,347387.6666666667,3629.1,4420.200000000001,5639.433333333333,7994.133333333332,20468.7,1207.9499999999998,135073.94999999998,61292.60000000001,63330.899999999994,36854.75,23669.449999999997,7208.150000000001,11657.650000000001,38810.666666666664,76982.3,513272.05000000005
2007-04-01,77251.0,6568.350000000001,30485.100000000002,49021.74999999999,560311.0,3558.4500000000003,43534.950000000004,52042.2,243577.0,436407.0,9164.5,360625.43333333335,3762.9,4973.433333333333,6408.366666666667,8371.9,21957.26666666667,1249.3999999999999,138268.45,62906.9,66299.00000000001,38194.799999999996,26996.9,7732.25,12479.05,40665.333333333336,79278.15,500391.95000000007
2007-07-01,75980.0,7327.7,31507.999999999996,49494.15000000001,574350.0,3644.7,43264.49999999999,52485.95,242939.5,431402.66666666674,9688.35,354633.0666666667,3825.2999999999997,5298.6,6913.433333333334,8205.900000000001,22338.78333333333,1296.3,137467.6,63804.350000000006,67616.55000000002,37846.4,30731.550000000007,7935.549999999999,13177.500000000002,40912.66666666666,77040.55,513178.50000000006
2007-10-01,79346.0,7522.349999999999,34132.03333333333,51410.3,575581.5,3727.2500000000005,44402.450000000004,52508.30000000001,254631.5,446847.3333333334,9340.55,382880.9666666667,3965.6,5453.133333333333,7125.900000000001,8695.8,23171.833333333336,1267.55,141690.5,65774.55,77042.85,39287.299999999996,31909.050000000003,7975.549999999999,13387.550000000001,43265.333333333336,81549.2,502165.89999999997
2008-01-01,78255.0,6968.349999999999,33794.533333333326,50552.09999999999,572862.0,3601.2500000000005,42543.049999999996,51347.600000000006,248170.0,447817.3333333333,9620.6,359743.80000000005,3948.033333333333,5282.466666666666,6722.999999999999,8537.766666666668,21727.916666666664,1288.05,143325.0,65152.7,75270.40000000001,38305.9,27383.300000000003,7947.700000000001,13813.05,41333.333333333336,78435.1,479761.05
2008-04-01,80395.0,7618.450000000002,36934.03333333333,51755.2,579893.0,3819.8999999999996,42699.4,53937.05,262065.5,451457.00000000006,10155.700000000003,374648.06666666665,4109.666666666667,5608.333333333334,7596.566666666666,8624.733333333334,23531.633333333335,1361.65,145062.80000000002,65479.850000000006,81083.75,39319.80000000001,31958.749999999996,8477.5,14978.150000000001,42934.00000000001,81540.6,446731.39999999997
2008-07-01,78548.0,8317.7,38709.56666666666,52521.700000000004,582473.5,3712.0000000000005,41813.44999999999,54869.8,255900.5,442309.00000000006,10689.85,361419.93333333335,4165.333333333334,5634.1,7742.2,8531.8,24418.933333333334,1388.6000000000001,143688.19999999998,65314.79999999999,84492.2,38880.25,35880.950000000004,8518.6,15768.45,42783.333333333336,78643.75,449486.14999999997
2008-10-01,79805.0,8358.849999999999,36803.933333333334,52449.35,567631.5,3600.4000000000005,40070.8,53561.25,259509.0,450343.3333333333,10168.050000000001,376989.73333333334,4193.633333333333,5389.900000000001,7273.799999999999,8511.333333333332,22994.68333333333,1346.75,146284.15,66033.65000000001,79621.2,39510.2,35856.15,8294.6,15366.150000000001,43335.33333333332,73275.70000000001,422988.00000000006
2009-01-01,76919.5,7704.999999999999,31343.13333333333,49471.1,539582.0,3143.85,38642.3,50424.049999999996,243882.5,438438.99999999994,9259.550000000001,345176.1333333333,3999.666666666666,4384.333333333334,5983.7,8164.233333333334,18330.666666666664,1293.6000000000001,140759.4,62812.55,65626.90000000001,37821.75,24517.299999999996,7709.5,13845.900000000001,38899.66666666667,65190.00000000001,388546.15
