0,РОРО,УБИП,УБНО,УБОД,УБОП,УБСК,УВДП,УВОА,УВТТ,УУСУ,УУУБ
2006-01-01,109422.0,-3161.0,-24059.0,-8261.0,-8577.0,-121975.0,-31749.0,-3444.0,-2415.0,-2757.0,-2660.0
2006-02-01,114069.0,-3017.0,-21676.0,-6853.0,-6913.0,-106924.0,-26794.0,-2649.0,-1820.0,-2755.0,-2207.0
2006-03-01,129178.0,-3308.0,-24464.0,-8071.0,-7532.0,-113465.0,-27341.0,-2764.0,-1872.0,-3693.0,-2576.0
2006-04-01,113392.0,-2758.0,-22301.0,-6960.0,-6728.0,-99205.0,-24508.0,-2415.0,-2004.0,-3667.0,-2435.0
2006-05-01,125100.0,-3049.0,-25131.0,-7716.0,-7723.0,-110076.0,-27406.0,-2711.0,-2864.0,-4510.0,-2622.0
2006-06-01,124238.0,-2799.0,-23920.0,-6554.0,-6901.0,-99314.0,-26670.0,-2090.0,-3273.0,-4309.0,-2354.0
2006-07-01,125927.0,-2694.0,-23312.0,-5851.0,-6512.0,-90976.0,-26286.0,-1778.0,-3701.0,-4072.0,-2221.0
2006-08-01,140228.0,-2868.0,-24816.0,-6181.0,-7367.0,-96802.0,-25669.0,-2033.0,-4450.0,-4160.0,-2481.0
2006-09-01,123950.0,-2612.0,-23264.0,-5974.0,-7176.0,-90914.0,-23017.0,-1989.0,-4020.0,-3398.0,-2229.0
2006-10-01,130757.0,-2936.0,-24501.0,-6985.0,-8105.0,-101525.0,-25744.0,-2441.0,-4273.0,-3386.0,-2341.0
2006-11-01,122258.0,-2884.0,-23570.0,-6434.0,-7552.0,-97272.0,-25117.0,-2143.0,-3724.0,-2996.0,-2226.0
2006-12-01,117702.0,-2917.0,-23539.0,-6046.0,-7053.0,-96196.0,-23962.0,-1929.0,-3471.0,-2765.0,-2161.0
2007-01-01,125368.0,-3052.0,-24873.0,-7011.0,-8099.0,-110051.0,-26247.0,-2325.0,-3296.0,-3345.0,-2400.0
2007-02-01,117186.0,-2701.0,-22099.0,-5965.0,-6404.0,-95627.0,-22102.0,-1671.0,-1965.0,-2592.0,-1820.0
2007-03-01,129618.0,-3018.0,-24356.0,-7728.0,-7261.0,-107162.0,-25269.0,-2017.0,-2104.0,-3556.0,-2149.0
2007-04-01,116527.0,-2698.0,-23064.0,-6555.0,-6757.0,-95982.0,-23075.0,-1968.0,-2161.0,-3600.0,-2081.0
2007-05-01,136795.0,-3050.0,-25299.0,-6993.0,-7727.0,-107745.0,-26172.0,-1914.0,-3031.0,-4252.0,-2192.0
2007-06-01,127509.0,-2654.0,-23027.0,-6006.0,-6489.0,-93038.0,-23946.0,-1502.0,-3256.0,-3766.0,-1901.0
2007-07-01,142686.0,-2708.0,-24335.0,-5882.0,-6809.0,-92686.0,-26072.0,-1333.0,-3852.0,-3968.0,-2052.0
2007-08-01,149912.0,-2656.0,-25146.0,-5981.0,-7260.0,-93885.0,-25896.0,-1283.0,-4226.0,-3949.0,-2200.0
2007-09-01,132454.0,-2542.0,-22622.0,-5485.0,-6898.0,-85976.0,-20966.0,-1375.0,-3846.0,-3048.0,-1891.0
2007-10-01,154324.0,-2954.0,-25493.0,-6884.0,-8240.0,-101572.0,-25005.0,-1822.0,-4439.0,-3405.0,-2257.0
2007-11-01,135487.0,-2793.0,-23651.0,-6299.0,-7406.0,-96747.0,-24283.0,-1821.0,-3568.0,-2870.0,-2049.0
2007-12-01,134521.0,-2768.0,-23289.0,-6078.0,-7228.0,-96952.0,-23848.0,-1742.0,-3115.0,-2603.0,-1893.0
2008-01-01,141262.0,-2977.0,-25344.0,-7530.0,-8567.0,-116934.0,-29179.0,-2173.0,-2667.0,-2830.0,-2275.0
2008-02-01,132405.0,-2815.0,-22709.0,-6524.0,-6863.0,-97867.0,-22697.0,-1645.0,-1950.0,-2696.0,-1982.0
2008-03-01,133235.0,-2949.0,-23642.0,-7490.0,-7198.0,-103872.0,-23708.0,-1836.0,-2122.0,-3228.0,-2014.0
2008-04-01,140213.0,-2936.0,-24450.0,-7161.0,-7270.0,-102619.0,-24815.0,-1878.0,-2326.0,-3399.0,-2053.0
2008-05-01,132539.0,-2874.0,-23949.0,-6866.0,-7524.0,-102048.0,-24331.0,-1758.0,-2613.0,-3615.0,-2037.0
2008-06-01,131845.0,-2811.0,-23227.0,-6154.0,-7255.0,-94430.0,-22832.0,-1409.0,-2812.0,-3590.0,-1789.0
2008-07-01,163520.0,-2841.0,-25095.0,-6117.0,-7312.0,-97124.0,-27351.0,-1341.0,-3541.0,-3958.0,-1952.0
2008-08-01,148284.0,-2573.0,-23306.0,-5454.0,-6974.0,-87255.0,-22867.0,-1117.0,-3430.0,-3372.0,-1747.0
2008-09-01,151064.0,-2699.0,-24575.0,-6246.0,-7870.0,-94698.0,-23429.0,-1458.0,-3609.0,-3007.0,-1826.0
2008-10-01,160158.0,-2885.0,-24754.0,-6785.0,-7870.0,-98328.0,-24721.0,-1603.0,-3918.0,-3136.0,-1999.0
2008-11-01,132407.0,-2472.0,-22335.0,-5563.0,-7023.0,-86872.0,-21738.0,-1444.0,-3278.0,-2488.0,-1764.0
2008-12-01,150549.0,-2895.0,-25107.0,-6243.0,-7580.0,-99941.0,-25492.0,-1563.0,-3124.0,-2794.0,-1989.0
2009-01-01,137503.0,-2903.0,-24625.0,-6826.0,-7948.0,-107162.0,-26913.0,-1916.0,-2355.0,-2853.0,-1978.0
2009-02-01,133343.0,-2661.0,-22367.0,-5991.0,-6583.0,-90589.0,-22195.0,-1381.0,-1723.0,-2544.0,-1710.0
2009-03-01,151027.0,-3188.0,-25052.0,-7939.0,-7587.0,-105987.0,-24832.0,-1584.0,-1708.0,-3326.0,-1945.0
2009-04-01,142828.0,-2842.0,-24424.0,-6628.0,-7118.0,-96483.0,-23846.0,-1487.0,-1829.0,-3362.0,-1826.0
2009-05-01,135218.0,-2664.0,-23363.0,-6151.0,-6850.0,-93119.0,-22723.0,-1314.0,-2165.0,-3606.0,-1726.0
2009-06-01,149348.0,-2869.0,-24702.0,-5964.0,-7337.0,-94043.0,-24939.0,-1168.0,-2554.0,-3842.0,-1751.0
2009-07-01,163309.0,-2698.0,-24922.0,-5775.0,-7160.0,-91503.0,-25916.0,-1100.0,-3076.0,-3607.0,-1789.0
2009-08-01,151739.0,-2488.0,-23577.0,-5149.0,-6976.0,-81782.0,-21968.0,-1087.0,-2910.0,-3190.0,-1562.0
2009-09-01,156717.0,-2609.0,-24566.0,-5838.0,-7518.0,-87647.0,-22594.0,-1220.0,-3172.0,-3046.0,-1770.0
2009-10-01,154049.0,-2630.0,-24569.0,-6317.0,-7773.0,-92482.0,-23495.0,-1329.0,-3164.0,-2771.0,-1689.0
2009-11-01,135173.0,-2626.0,-23840.0,-7393.0,-7301.0,-89105.0,-22677.0,-1315.0,-2687.0,-2527.0,-1593.0
2009-12-01,153910.0,-2965.0,-25593.0,-7807.0,-7619.0,-100435.0,-26260.0,-1387.0,-2654.0,-2524.0,-1782.0
2010-01-01,132371.0,-2722.0,-23375.0,-6620.0,-7782.0,-101844.0,-26570.0,-1668.0,-1778.0,-2304.0,-1653.0
2010-02-01,135015.0,-2582.0,-22386.0,-5797.0,-6941.0,-93118.0,-23703.0,-1279.0,-1402.0,-2077.0,-1416.0
2010-03-01,160950.0,-3077.0,-25631.0,-6598.0,-7965.0,-102563.0,-25134.0,-1427.0,-1631.0,-2835.0,-1760.0
2010-04-01,143644.0,-2679.0,-24023.0,-6000.0,-7227.0,-92478.0,-23682.0,-1305.0,-1569.0,-3068.0,-1670.0
2010-05-01,139043.0,-2547.0,-23539.0,-5952.0,-7357.0,-92105.0,-23069.0,-1246.0,-2032.0,-3273.0,-1490.0
2010-06-01,157813.0,-2820.0,-24560.0,-6073.0,-7557.0,-93384.0,-26387.0,-1024.0,-2432.0,-3339.0,-1463.0
2010-07-01,158207.0,-2731.0,-26046.0,-5987.0,-7672.0,-101344.0,-29702.0,-846.0,-2909.0,-3289.0,-1494.0
2010-08-01,159610.0,-2700.0,-26588.0,-6594.0,-8097.0,-108193.0,-30856.0,-829.0,-3347.0,-3210.0,-1537.0
2010-09-01,150999.0,-2709.0,-23957.0,-6047.0,-7735.0,-87074.0,-23688.0,-1105.0,-2996.0,-2756.0,-1482.0
2010-10-01,149774.0,-2614.0,-23417.0,-6054.0,-7723.0,-87456.0,-23724.0,-1242.0,-2896.0,-2505.0,-1489.0
2010-11-01,148731.0,-2738.0,-24065.0,-5871.0,-7626.0,-86911.0,-23648.0,-1157.0,-3113.0,-2510.0,-1608.0
2010-12-01,153466.0,-2659.0,-24723.0,-5904.0,-7517.0,-93898.0,-26000.0,-1253.0,-2394.0,-2142.0,-1598.0
2011-01-01,132954.0,-2641.0,-23719.0,-6762.0,-7645.0,-97500.0,-25199.0,-1427.0,-1878.0,-2195.0,-1542.0
2011-02-01,133593.0,-2762.0,-22350.0,-6803.0,-6771.0,-88130.0,-22468.0,-978.0,-1407.0,-2049.0,-1324.0
2011-03-01,157425.0,-3251.0,-25117.0,-7540.0,-7683.0,-101202.0,-25967.0,-1192.0,-1565.0,-2590.0,-1555.0
2011-04-01,133954.0,-2648.0,-23561.0,-5966.0,-6900.0,-87265.0,-22398.0,-985.0,-1580.0,-2742.0,-1408.0
2011-05-01,136564.0,-2892.0,-24260.0,-6164.0,-7406.0,-92869.0,-23816.0,-1140.0,-2151.0,-3182.0,-1417.0
2011-06-01,148089.0,-2569.0,-23906.0,-5790.0,-7105.0,-86905.0,-23488.0,-953.0,-2409.0,-2980.0,-1332.0
2011-07-01,155221.0,-2617.0,-24244.0,-5276.0,-6792.0,-84311.0,-25063.0,-707.0,-2844.0,-2868.0,-1275.0
2011-08-01,173166.0,-2654.0,-25345.0,-5792.0,-7537.0,-87083.0,-25714.0,-808.0,-3354.0,-2794.0,-1343.0
2011-09-01,158052.0,-2519.0,-24150.0,-5714.0,-7546.0,-83340.0,-22726.0,-831.0,-3216.0,-2528.0,-1328.0
2011-10-01,153789.0,-2494.0,-23967.0,-5745.0,-7607.0,-86459.0,-22379.0,-928.0,-3121.0,-2399.0,-1348.0
2011-11-01,156028.0,-2663.0,-24521.0,-5534.0,-7297.0,-87677.0,-23417.0,-922.0,-2770.0,-2265.0,-1264.0
2011-12-01,154993.0,-2726.0,-24319.0,-5340.0,-7047.0,-87229.0,-23248.0,-870.0,-2518.0,-1974.0,-1270.0
2012-01-01,143790.0,-2593.0,-24214.0,-5775.0,-7777.0,-94020.0,-24428.0,-1104.0,-2025.0,-2224.0,-1470.0
2012-02-01,150544.0,-2629.0,-23323.0,-5313.0,-6785.0,-90777.0,-24252.0,-887.0,-1457.0,-1940.0,-1188.0
2012-03-01,157323.0,-2684.0,-24508.0,-6170.0,-7220.0,-91632.0,-24005.0,-866.0,-1580.0,-2384.0,-1377.0
2012-04-01,140563.0,-2592.0,-23129.0,-5766.0,-6773.0,-86508.0,-22869.0,-904.0,-1648.0,-2642.0,-1235.0
2012-05-01,160160.0,-2773.0,-25212.0,-6256.0,-7805.0,-92467.0,-26257.0,-928.0,-2393.0,-3186.0,-1376.0
2012-06-01,153359.0,-2567.0,-23321.0,-5594.0,-6914.0,-83248.0,-24569.0,-710.0,-2469.0,-2801.0,-1147.0
2012-07-01,170949.0,-2533.0,-24720.0,-5530.0,-7138.0,-83234.0,-26782.0,-633.0,-3042.0,-2866.0,-1184.0
2012-08-01,176707.0,-2393.0,-24139.0,-5398.0,-7451.0,-81135.0,-25580.0,-611.0,-3404.0,-2578.0,-1257.0
2012-09-01,155869.0,-2326.0,-22667.0,-5148.0,-7082.0,-77800.0,-22391.0,-726.0,-3005.0,-2168.0,-1077.0
2012-10-01,177661.0,-2658.0,-25306.0,-6337.0,-7961.0,-91109.0,-26226.0,-927.0,-3275.0,-2395.0,-1277.0
2012-11-01,157272.0,-2481.0,-23509.0,-5688.0,-7173.0,-83250.0,-24452.0,-854.0,-2819.0,-1993.0,-1243.0
2012-12-01,152066.0,-2439.0,-23792.0,-5770.0,-7102.0,-88113.0,-26076.0,-928.0,-2148.0,-1757.0,-1114.0
2013-01-01,158930.0,-2716.0,-25417.0,-7092.0,-8227.0,-101471.0,-29012.0,-1182.0,-2080.0,-2135.0,-1402.0
2013-02-01,142973.0,-2311.0,-22360.0,-6326.0,-6507.0,-82569.0,-23367.0,-811.0,-1466.0,-1822.0,-1042.0
2013-03-01,146062.0,-2613.0,-23739.0,-6996.0,-7095.0,-89626.0,-25354.0,-894.0,-1502.0,-2186.0,-1214.0
2013-04-01,152913.0,-2637.0,-24369.0,-6261.0,-7089.0,-89177.0,-26085.0,-853.0,-1623.0,-2639.0,-1228.0
2013-05-01,152496.0,-2620.0,-24680.0,-6031.0,-7298.0,-86924.0,-26040.0,-890.0,-2189.0,-2821.0,-1230.0
2013-06-01,149800.0,-2390.0,-22580.0,-4990.0,-6540.0,-75664.0,-24153.0,-642.0,-2382.0,-2436.0,-1031.0
2013-07-01,181907.0,-2661.0,-25483.0,-5503.0,-7227.0,-81495.0,-28543.0,-678.0,-3116.0,-2888.0,-1127.0
2013-08-01,169963.0,-2433.0,-24122.0,-5071.0,-7244.0,-75407.0,-25344.0,-594.0,-2992.0,-2572.0,-1118.0
2013-09-01,156199.0,-2334.0,-23169.0,-5396.0,-7197.0,-75496.0,-24332.0,-667.0,-2790.0,-2089.0,-1020.0
2013-10-01,180373.0,-2676.0,-25753.0,-6822.0,-8314.0,-87519.0,-30231.0,-862.0,-3029.0,-2348.0,-1117.0
2013-11-01,151662.0,-2420.0,-22979.0,-5551.0,-7092.0,-73499.0,-27481.0,-773.0,-2690.0,-2169.0,-1169.0
2013-12-01,157904.0,-2587.0,-24195.0,-6053.0,-7631.0,-79676.0,-30873.0,-875.0,-2539.0,-1998.0,-1214.0
2014-01-01,153330.0,-2640.0,-24309.0,-6605.0,-8492.0,-85788.0,-33477.0,-1087.0,-2163.0,-2161.0,-1335.0
2014-02-01,148182.0,-2351.0,-22496.0,-5887.0,-7136.0,-76279.0,-30638.0,-820.0,-1502.0,-1771.0,-1002.0
2014-03-01,150399.0,-2578.0,-23865.0,-6634.0,-7523.0,-78891.0,-31185.0,-879.0,-1621.0,-2309.0,-1091.0
2014-04-01,158815.0,-2697.0,-24313.0,-6852.0,-7838.0,-80766.0,-32680.0,-868.0,-1875.0,-2367.0,-1085.0
2014-05-01,155862.0,-2538.0,-24105.0,-6939.0,-7982.0,-81221.0,-32216.0,-783.0,-2269.0,-2617.0,-1040.0
2014-06-01,152606.0,-2466.0,-22920.0,-5815.0,-7468.0,-71369.0,-29979.0,-678.0,-2315.0,-2319.0,-968.0
2014-07-01,184369.0,-2697.0,-25283.0,-6307.0,-8218.0,-77112.0,-33894.0,-713.0,-2850.0,-2570.0,-994.0
2014-08-01,166129.0,-2318.0,-23426.0,-5737.0,-7390.0,-69788.0,-30747.0,-522.0,-3023.0,-2355.0,-969.0
2014-09-01,167354.0,-2552.0,-25082.0,-6141.0,-8360.0,-75517.0,-30794.0,-761.0,-3054.0,-2072.0,-961.0
2014-10-01,173502.0,-2692.0,-24699.0,-6976.0,-8649.0,-80390.0,-33244.0,-839.0,-2922.0,-2009.0,-1011.0
2014-11-01,143579.0,-2249.0,-22568.0,-5826.0,-7539.0,-70921.0,-28215.0,-721.0,-2423.0,-1712.0,-967.0
2014-12-01,163963.0,-2578.0,-25598.0,-7052.0,-8434.0,-83589.0,-32984.0,-890.0,-2487.0,-1913.0,-1138.0
2015-01-01,147263.0,-2626.0,-24485.0,-7415.0,-9015.0,-88184.0,-33713.0,-1041.0,-1932.0,-1973.0,-1207.0
2015-02-01,142289.0,-2482.0,-23265.0,-7348.0,-7581.0,-78576.0,-29813.0,-753.0,-1402.0,-1674.0,-891.0
2015-03-01,158626.0,-2976.0,-25568.0,-8546.0,-8782.0,-85925.0,-35029.0,-902.0,-1519.0,-2228.0,-1009.0
2015-04-01,154639.0,-2938.0,-24755.0,-6838.0,-8537.0,-79296.0,-33629.0,-893.0,-1524.0,-2254.0,-961.0
2015-05-01,146972.0,-2648.0,-23184.0,-6017.0,-8211.0,-74188.0,-32081.0,-840.0,-1738.0,-2173.0,-958.0
2015-06-01,163414.0,-2752.0,-24627.0,-5696.0,-8238.0,-75225.0,-35618.0,-780.0,-2239.0,-2434.0,-925.0
2015-07-01,179159.0,-2698.0,-25097.0,-5105.0,-8116.0,-70998.0,-35007.0,-636.0,-2270.0,-2188.0,-921.0
2015-08-01,166100.0,-2373.0,-23453.0,-4821.0,-7646.0,-66074.0,-32134.0,-601.0,-2338.0,-2111.0,-844.0
2015-09-01,170387.0,-2456.0,-24900.0,-5411.0,-8334.0,-70467.0,-34264.0,-653.0,-2461.0,-1998.0,-887.0
2015-10-01,168047.0,-2540.0,-24480.0,-5630.0,-8218.0,-71329.0,-35854.0,-737.0,-2392.0,-1829.0,-935.0
2015-11-01,149054.0,-2304.0,-23186.0,-5244.0,-7736.0,-67015.0,-33971.0,-792.0,-2088.0,-1693.0,-911.0
2015-12-01,168764.0,-2663.0,-25139.0,-5950.0,-8379.0,-74307.0,-37477.0,-776.0,-2353.0,-1958.0,-1057.0
2016-01-01,139879.0,-2510.0,-23742.0,-6899.0,-8699.0,-81209.0,-38507.0,-919.0,-1499.0,-1708.0,-986.0
2016-02-01,146918.0,-2708.0,-23877.0,-6979.0,-7547.0,-74135.0,-34097.0,-687.0,-1331.0,-1722.0,-833.0
2016-03-01,164631.0,-2867.0,-25456.0,-6551.0,-8375.0,-78232.0,-36451.0,-821.0,-1290.0,-2080.0,-966.0
2016-04-01,145414.0,-2602.0,-23700.0,-5280.0,-7587.0,-70618.0,-33309.0,-727.0,-1301.0,-1990.0,-929.0
2016-05-01,154535.0,-2676.0,-24785.0,-5499.0,-7985.0,-75563.0,-35526.0,-761.0,-1662.0,-2161.0,-948.0
2016-06-01,163595.0,-2669.0,-24037.0,-5276.0,-7845.0,-72113.0,-36149.0,-661.0,-1817.0,-2145.0,-816.0
2016-07-01,162818.0,-2488.0,-23279.0,-4824.0,-7272.0,-66634.0,-34425.0,-539.0,-1985.0,-2001.0,-780.0
2016-08-01,178902.0,-2791.0,-25799.0,-5324.0,-7876.0,-72153.0,-37050.0,-498.0,-2357.0,-2202.0,-835.0
2016-09-01,157277.0,-2545.0,-24142.0,-5157.0,-8062.0,-68828.0,-33178.0,-561.0,-2203.0,-1817.0,-758.0
2016-10-01,150430.0,-2556.0,-23390.0,-5395.0,-7888.0,-69719.0,-34032.0,-598.0,-2123.0,-1593.0,-716.0
2016-11-01,152593.0,-2739.0,-23924.0,-5316.0,-8110.0,-73170.0,-35781.0,-649.0,-1850.0,-1523.0,-787.0
2016-12-01,147860.0,-2665.0,-23908.0,-5690.0,-7980.0,-76071.0,-39002.0,-706.0,-1713.0,-1513.0,-832.0
2017-01-01,134490.0,-2703.0,-24253.0,-7355.0,-8736.0,-85147.0,-42848.0,-780.0,-1617.0,-1627.0,-899.0
2017-02-01,124931.0,-2411.0,-21870.0,-5510.0,-6966.0,-68891.0,-34848.0,-510.0,-1125.0,-1314.0,-662.0
2017-03-01,146065.0,-3022.0,-24437.0,-5647.0,-7994.0,-74459.0,-38621.0,-632.0,-1184.0,-1814.0,-897.0
2017-04-01,123732.0,-2563.0,-22297.0,-4589.0,-6896.0,-65147.0,-34125.0,-532.0,-1102.0,-1695.0,-728.0
2017-05-01,139887.0,-2824.0,-24653.0,-5329.0,-7922.0,-74637.0,-37916.0,-687.0,-1394.0,-1980.0,-724.0
2017-06-01,139760.0,-2648.0,-23319.0,-4793.0,-7353.0,-68128.0,-35645.0,-560.0,-1649.0,-1802.0,-701.0
2017-07-01,146116.0,-2603.0,-23115.0,-4277.0,-7084.0,-64814.0,-34687.0,-396.0,-1722.0,-1730.0,-643.0
2017-08-01,159623.0,-2543.0,-24978.0,-4403.0,-7455.0,-67268.0,-37382.0,-443.0,-2167.0,-1918.0,-697.0
2017-09-01,137835.0,-2460.0,-23448.0,-4282.0,-7223.0,-64192.0,-32941.0,-469.0,-1928.0,-1574.0,-638.0
2017-10-01,144230.0,-2640.0,-24645.0,-4775.0,-7602.0,-70787.0,-36988.0,-570.0,-2102.0,-1550.0,-748.0
2017-11-01,135893.0,-2439.0,-23288.0,-4367.0,-7306.0,-66426.0,-34166.0,-568.0,-1936.0,-1390.0,-703.0
2017-12-01,131515.0,-2525.0,-23335.0,-4524.0,-7336.0,-67557.0,-34202.0,-513.0,-1567.0,-1268.0,-693.0
2018-01-01,133436.0,-2731.0,-24777.0,-5391.0,-8441.0,-77043.0,-39829.0,-776.0,-1535.0,-1531.0,-728.0
2018-02-01,120514.0,-2462.0,-22566.0,-4606.0,-7029.0,-65548.0,-34768.0,-436.0,-1068.0,-1270.0,-637.0
2018-03-01,130909.0,-2821.0,-25536.0,-6468.0,-8074.0,-78695.0,-40940.0,-582.0,-1206.0,-1482.0,-724.0
2018-04-01,121616.0,-2727.0,-23676.0,-6254.0,-7458.0,-72345.0,-38356.0,-478.0,-1152.0,-1607.0,-616.0
2018-05-01,134948.0,-2849.0,-24637.0,-5380.0,-8178.0,-74103.0,-40292.0,-499.0,-1436.0,-1814.0,-709.0
2018-06-01,129761.0,-2580.0,-23287.0,-4580.0,-7603.0,-67141.0,-36891.0,-426.0,-1416.0,-1608.0,-583.0
2018-07-01,143891.0,-2648.0,-24600.0,-4469.0,-7578.0,-67192.0,-38778.0,-418.0,-1867.0,-1704.0,-624.0
2018-08-01,146792.0,-2694.0,-24598.0,-4176.0,-7688.0,-65030.0,-36174.0,-426.0,-2039.0,-1632.0,-605.0
2018-09-01,129711.0,-2301.0,-22746.0,-4039.0,-7234.0,-61529.0,-31791.0,-374.0,-1869.0,-1332.0,-568.0
2018-10-01,140144.0,-2559.0,-22779.0,-5049.0,-7563.0,-67273.0,-37904.0,-355.0,-1880.0,-1321.0,-578.0
2018-11-01,124591.0,-2236.0,-21376.0,-4137.0,-7039.0,-61558.0,-36219.0,-315.0,-1521.0,-1137.0,-569.0
2018-12-01,118243.0,-2433.0,-22662.0,-4290.0,-7294.0,-66855.0,-35839.0,-396.0,-1464.0,-1139.0,-526.0
2019-01-01,119530.0,-2649.0,-25272.0,-5462.0,-8708.0,-79968.0,-36844.0,-520.0,-1320.0,-1222.0,-745.0
