,СЕВАУБОД,СЕВАУБОП,СЕВАУБСК,СЕВАУБИП,СЕВАУБНО,СЕВАУУСУ,СЕВАУВОА,СЕВАУУУБ,СЕВАУВТТ,КРЫМУБОД,КРЫМУБОП,КРЫМУБСК,КРЫМУБИП,КРЫМУБНО,КРЫМУУСУ,КРЫМУВОА,КРЫМУУУБ,КРЫМУВТТ,СЕВАУВДП,КРЫМУВДП,КРЫМРОРО,СЕВАРОРО
2006-01-01,-17,-36,-300,-7,-87,-3,0,-1,-3,-70,-107,-1758,-48,-304,-29,-8,-16,-31,-43,-181,1570,289
2006-02-01,-16,-30,-330,-7,-75,-3,-1,0,-2,-80,-94,-1811,-53,-301,-19,-11,-10,-22,-33,-151,1534,301
2006-03-01,-23,-30,-288,-8,-94,-4,0,-1,-4,-76,-118,-1737,-55,-341,-34,-7,-7,-18,-45,-159,1664,333
2006-04-01,-11,-28,-293,-11,-94,-5,-4,-1,-1,-73,-118,-1678,-54,-357,-37,-18,-12,-26,-52,-180,1532,302
2006-05-01,-10,-18,-315,-10,-81,-6,-2,-1,-5,-48,-125,-1734,-47,-328,-47,-12,-21,-21,-48,-170,1542,306
2006-06-01,-7,-29,-271,-18,-94,-8,-1,-4,-3,-54,-107,-1661,-54,-384,-45,-22,-9,-32,-58,-183,1630,313
2006-07-01,-3,-35,-260,-11,-107,-7,0,-2,-6,-50,-128,-1625,-51,-345,-61,-15,-13,-36,-67,-228,1779,331
2006-08-01,-5,-21,-280,-11,-112,-8,0,0,-4,-55,-140,-1580,-63,-388,-44,-5,-17,-36,-54,-224,1861,355
2006-09-01,-7,-41,-255,-12,-102,-8,-2,-2,-6,-49,-124,-1611,-55,-414,-27,-9,-19,-44,-62,-201,1764,345
2006-10-01,-4,-45,-299,-9,-86,-3,0,-2,-4,-49,-144,-1632,-67,-378,-27,-19,-15,-44,-43,-176,1798,340
2006-11-01,-8,-38,-295,-7,-80,-3,0,-3,-7,-66,-146,-1630,-69,-363,-32,-13,-13,-40,-54,-181,1658,335
2006-12-01,-8,-35,-287,-15,-79,-3,0,-2,-8,-58,-126,-1653,-70,-344,-30,-13,-12,-39,-61,-207,1693,328
2007-01-01,-17,-36,-307,-8,-89,-3,0,-1,-3,-71,-109,-1797,-49,-311,-30,-8,-16,-32,-42,-185,1667,297
2007-02-01,-16,-31,-337,-7,-76,-3,-1,0,-2,-82,-96,-1851,-54,-308,-19,-12,-11,-22,-31,-154,1675,309
2007-03-01,-23,-31,-294,-8,-96,-4,0,-1,-4,-78,-121,-1775,-56,-348,-35,-8,-7,-18,-45,-162,1788,328
2007-04-01,-11,-28,-299,-12,-96,-5,-4,-1,-1,-74,-120,-1715,-55,-364,-38,-18,-12,-26,-51,-184,1620,300
2007-05-01,-10,-18,-322,-10,-83,-6,-2,-1,-5,-49,-128,-1772,-48,-335,-48,-12,-22,-22,-47,-174,1670,314
2007-06-01,-7,-30,-276,-18,-96,-8,-1,-4,-3,-56,-109,-1698,-56,-393,-46,-22,-9,-32,-63,-187,1719,313
2007-07-01,-3,-35,-265,-11,-109,-7,0,-2,-6,-51,-131,-1661,-52,-353,-62,-15,-13,-37,-71,-233,1949,340
2007-08-01,-5,-22,-286,-11,-115,-8,0,0,-4,-56,-143,-1615,-64,-396,-45,-5,-17,-37,-54,-229,2043,371
2007-09-01,-7,-42,-261,-12,-105,-9,-2,-2,-6,-50,-127,-1646,-56,-423,-27,-9,-19,-45,-65,-205,1915,369
2007-10-01,-4,-46,-305,-9,-88,-3,0,-2,-4,-51,-147,-1668,-68,-386,-28,-19,-16,-45,-45,-180,1983,359
2007-11-01,-9,-39,-301,-8,-82,-3,0,-3,-8,-67,-149,-1666,-71,-371,-32,-13,-13,-41,-58,-185,1736,351
2007-12-01,-8,-36,-293,-16,-81,-3,0,-2,-8,-60,-129,-1689,-72,-351,-31,-13,-12,-39,-63,-211,1841,353
2008-01-01,-17,-37,-310,-8,-90,-3,0,-1,-3,-70,-107,-1761,-48,-305,-30,-8,-16,-31,-45,-181,1871,338
2008-02-01,-16,-31,-341,-7,-77,-3,-1,0,-2,-80,-94,-1814,-53,-302,-19,-11,-10,-22,-32,-151,1783,318
2008-03-01,-23,-31,-297,-8,-97,-4,0,-1,-4,-77,-119,-1740,-55,-342,-35,-7,-7,-18,-47,-159,1956,360
2008-04-01,-11,-29,-303,-12,-97,-5,-4,-1,-1,-73,-118,-1682,-54,-357,-37,-18,-12,-26,-53,-181,1803,334
2008-05-01,-10,-19,-326,-10,-84,-6,-2,-1,-5,-48,-125,-1737,-47,-329,-47,-12,-21,-21,-53,-170,1839,338
2008-06-01,-8,-30,-280,-18,-98,-9,-1,-4,-3,-55,-107,-1665,-55,-385,-45,-22,-9,-32,-65,-184,1895,341
2008-07-01,-3,-36,-268,-12,-110,-7,0,-2,-6,-50,-128,-1629,-51,-346,-61,-15,-13,-36,-69,-229,2066,366
2008-08-01,-5,-22,-289,-11,-116,-8,0,0,-4,-55,-141,-1583,-63,-388,-45,-5,-17,-37,-62,-224,2193,377
2008-09-01,-8,-42,-264,-12,-106,-9,-2,-2,-6,-49,-124,-1614,-55,-415,-27,-9,-19,-44,-61,-201,2020,393
2008-10-01,-4,-47,-309,-9,-89,-3,0,-2,-4,-50,-144,-1635,-67,-379,-28,-19,-15,-44,-50,-177,2128,365
2008-11-01,-9,-39,-305,-8,-83,-3,0,-3,-8,-66,-146,-1633,-69,-364,-32,-13,-13,-40,-55,-182,1913,346
2008-12-01,-8,-37,-296,-16,-82,-3,0,-2,-8,-58,-126,-1656,-71,-345,-30,-13,-12,-39,-58,-207,1935,352
2009-01-01,-16,-34,-288,-7,-84,-3,0,-1,-3,-65,-100,-1639,-45,-284,-27,-7,-15,-29,-46,-169,1846,328
2009-02-01,-15,-29,-317,-7,-72,-3,-1,0,-2,-75,-87,-1688,-49,-280,-17,-11,-10,-20,-32,-141,1851,292
2009-03-01,-22,-29,-276,-7,-90,-4,0,-1,-4,-71,-110,-1619,-51,-318,-32,-7,-6,-16,-46,-148,1924,365
2009-04-01,-10,-27,-282,-11,-90,-5,-4,-1,-1,-68,-110,-1564,-50,-332,-34,-17,-11,-24,-48,-168,1805,313
2009-05-01,-9,-17,-303,-9,-78,-5,-2,-1,-5,-44,-117,-1616,-43,-306,-43,-11,-20,-20,-49,-159,1801,307
2009-06-01,-7,-28,-260,-17,-91,-8,-1,-4,-3,-51,-99,-1548,-51,-358,-42,-20,-8,-30,-63,-171,1902,335
2009-07-01,-3,-33,-249,-11,-103,-6,0,-2,-5,-46,-119,-1515,-47,-322,-57,-14,-12,-33,-72,-213,2152,351
2009-08-01,-5,-20,-269,-11,-108,-8,0,0,-4,-51,-131,-1473,-58,-361,-41,-4,-16,-34,-51,-209,2192,375
2009-09-01,-7,-39,-245,-11,-98,-8,-2,-2,-6,-46,-116,-1501,-51,-386,-25,-8,-18,-41,-57,-187,2061,380
2009-10-01,-4,-43,-287,-8,-82,-3,0,-2,-4,-46,-134,-1521,-62,-352,-26,-17,-14,-41,-52,-165,2098,371
2009-11-01,-8,-36,-283,-7,-77,-3,0,-3,-7,-61,-136,-1519,-65,-338,-30,-12,-12,-37,-54,-169,1913,341
2009-12-01,-7,-34,-275,-15,-76,-3,0,-2,-7,-54,-117,-1540,-66,-321,-28,-12,-11,-36,-59,-193,1978,331
2010-01-01,-16,-35,-292,-7,-85,-3,0,-1,-3,-65,-100,-1637,-45,-283,-27,-7,-15,-29,-47,-169,1844,296
2010-02-01,-16,-29,-321,-7,-73,-3,-1,0,-2,-75,-87,-1686,-49,-280,-17,-11,-10,-20,-34,-141,1801,321
2010-03-01,-22,-29,-280,-8,-91,-4,0,-1,-4,-71,-110,-1617,-51,-318,-32,-7,-6,-16,-47,-148,1896,370
2010-04-01,-10,-27,-285,-11,-91,-5,-4,-1,-1,-68,-109,-1563,-50,-332,-34,-17,-11,-24,-50,-168,1777,326
2010-05-01,-9,-18,-307,-9,-79,-6,-2,-1,-5,-44,-117,-1615,-43,-305,-43,-11,-20,-20,-49,-159,1801,324
2010-06-01,-7,-28,-263,-17,-92,-8,-1,-4,-3,-51,-99,-1547,-51,-358,-42,-20,-8,-30,-59,-171,1872,320
2010-07-01,-3,-34,-253,-11,-104,-6,0,-2,-5,-46,-119,-1514,-47,-322,-56,-14,-12,-33,-65,-213,2129,358
2010-08-01,-5,-21,-272,-11,-109,-8,0,0,-4,-51,-131,-1472,-58,-361,-41,-4,-16,-34,-54,-209,2172,393
2010-09-01,-7,-40,-248,-11,-100,-8,-2,-2,-6,-46,-116,-1500,-51,-385,-25,-8,-18,-41,-60,-187,2012,382
2010-10-01,-4,-44,-291,-8,-83,-3,0,-2,-4,-46,-134,-1520,-62,-352,-26,-17,-14,-41,-41,-165,2125,382
2010-11-01,-8,-37,-287,-7,-78,-3,0,-3,-7,-61,-136,-1518,-65,-338,-30,-12,-12,-37,-50,-169,1921,363
2010-12-01,-7,-34,-279,-15,-77,-3,0,-2,-7,-54,-117,-1539,-66,-320,-28,-12,-11,-36,-58,-193,1942,343
2011-01-01,-16,-33,-282,-7,-82,-3,0,-1,-3,-63,-96,-1583,-43,-274,-27,-7,-14,-28,-45,-163,1806,306
2011-02-01,-15,-28,-310,-7,-70,-3,-1,0,-2,-72,-84,-1631,-48,-271,-17,-10,-9,-20,-32,-136,1785,338
2011-03-01,-21,-28,-270,-7,-88,-4,0,-1,-4,-69,-107,-1564,-50,-307,-31,-7,-6,-16,-38,-143,1941,362
2011-04-01,-10,-26,-275,-11,-88,-4,-4,-1,-1,-65,-106,-1512,-48,-321,-33,-16,-11,-23,-53,-163,1795,337
2011-05-01,-9,-17,-295,-9,-76,-5,-2,-1,-4,-43,-113,-1562,-42,-295,-42,-11,-19,-19,-51,-154,1804,346
2011-06-01,-7,-27,-254,-17,-88,-8,-1,-4,-3,-49,-96,-1496,-49,-346,-41,-19,-8,-29,-62,-165,1886,329
2011-07-01,-3,-33,-243,-11,-100,-6,0,-2,-5,-45,-115,-1464,-46,-311,-55,-14,-12,-32,-68,-206,2134,364
2011-08-01,-5,-20,-262,-10,-105,-8,0,0,-4,-49,-126,-1423,-56,-349,-40,-4,-15,-33,-53,-202,2259,397
2011-09-01,-7,-38,-239,-11,-96,-8,-2,-2,-6,-44,-112,-1451,-49,-373,-24,-8,-17,-39,-59,-181,2111,398
2011-10-01,-4,-42,-280,-8,-80,-3,0,-2,-4,-45,-130,-1470,-60,-340,-25,-17,-14,-40,-45,-159,2155,366
2011-11-01,-8,-36,-276,-7,-75,-3,0,-3,-7,-59,-131,-1468,-62,-327,-29,-12,-12,-36,-53,-164,1975,363
2011-12-01,-7,-33,-269,-14,-74,-3,0,-2,-7,-52,-113,-1489,-63,-310,-27,-12,-11,-35,-56,-187,1988,375
2012-01-01,-15,-33,-275,-7,-80,-3,0,-1,-3,-61,-94,-1549,-42,-268,-26,-7,-14,-28,-42,-160,1937,352
2012-02-01,-15,-27,-302,-6,-68,-3,-1,0,-2,-71,-83,-1595,-47,-265,-17,-10,-9,-19,-31,-133,1948,337
2012-03-01,-21,-28,-263,-7,-86,-4,0,-1,-4,-67,-104,-1530,-48,-300,-30,-7,-6,-16,-38,-140,2041,387
2012-04-01,-10,-25,-268,-11,-86,-4,-4,-1,-1,-64,-104,-1479,-47,-314,-32,-16,-11,-23,-50,-159,1905,333
2012-05-01,-9,-17,-288,-9,-74,-5,-2,-1,-4,-42,-110,-1528,-41,-289,-41,-11,-19,-19,-51,-150,1928,349
2012-06-01,-7,-27,-247,-16,-86,-8,-1,-4,-3,-48,-94,-1464,-48,-339,-40,-19,-8,-28,-52,-162,1975,370
2012-07-01,-3,-32,-237,-10,-98,-6,0,-2,-5,-44,-113,-1432,-45,-304,-53,-13,-11,-31,-65,-201,2230,392
2012-08-01,-5,-19,-256,-10,-103,-7,0,0,-4,-48,-124,-1392,-55,-342,-39,-4,-15,-32,-53,-198,2365,419
2012-09-01,-7,-37,-233,-11,-94,-8,-2,-2,-6,-43,-109,-1419,-48,-365,-24,-8,-17,-38,-56,-177,2204,434
2012-10-01,-4,-41,-273,-8,-78,-3,0,-2,-4,-44,-127,-1438,-59,-333,-24,-16,-14,-39,-42,-156,2249,402
2012-11-01,-8,-35,-270,-7,-73,-3,0,-3,-7,-58,-128,-1436,-61,-320,-28,-11,-11,-35,-51,-160,2028,387
2012-12-01,-7,-32,-262,-14,-73,-3,0,-2,-7,-51,-111,-1456,-62,-303,-26,-12,-11,-34,-58,-183,2078,397
2013-01-01,-16,-33,-278,-7,-81,-3,0,-1,-3,-62,-95,-1554,-43,-269,-26,-7,-14,-28,-39,-160,1849,341
2013-02-01,-15,-28,-306,-6,-69,-3,-1,0,-2,-71,-83,-1600,-47,-266,-17,-10,-9,-19,-35,-134,1817,314
2013-03-01,-21,-28,-267,-7,-87,-4,0,-1,-4,-68,-105,-1535,-49,-301,-30,-7,-6,-16,-43,-141,1980,395
2013-04-01,-10,-26,-272,-11,-87,-4,-4,-1,-1,-64,-104,-1483,-48,-315,-33,-16,-11,-23,-44,-160,1795,348
2013-05-01,-9,-17,-292,-9,-75,-5,-2,-1,-4,-42,-111,-1532,-41,-290,-41,-11,-19,-19,-49,-151,1902,342
2013-06-01,-7,-27,-251,-16,-87,-8,-1,-4,-3,-48,-94,-1468,-48,-340,-40,-19,-8,-28,-60,-162,1912,380
2013-07-01,-3,-32,-241,-10,-99,-6,0,-2,-5,-44,-113,-1437,-45,-305,-54,-13,-11,-32,-68,-202,2168,404
2013-08-01,-5,-20,-259,-10,-104,-7,0,0,-4,-48,-124,-1397,-55,-343,-39,-4,-15,-32,-50,-198,2319,426
2013-09-01,-7,-38,-237,-11,-95,-8,-2,-2,-6,-43,-110,-1424,-48,-366,-24,-8,-17,-39,-56,-178,2057,418
2013-10-01,-4,-42,-277,-8,-79,-3,0,-2,-4,-44,-127,-1442,-59,-334,-24,-17,-14,-39,-46,-156,2239,416
2013-11-01,-8,-35,-273,-7,-74,-3,0,-3,-7,-58,-129,-1440,-61,-321,-28,-11,-11,-35,-60,-161,1959,383
2013-12-01,-7,-33,-266,-14,-74,-3,0,-2,-7,-51,-111,-1461,-62,-304,-27,-12,-11,-34,-52,-185,1978,360
2014-01-01,-16,-33,-278,-7,-80,-3,0,-1,-3,-61,-94,-1543,-42,-267,-26,-7,-14,-28,-34,-161,1819,308
2014-02-01,-15,-28,-305,-6,-69,-3,-1,0,-2,-70,-82,-1589,-47,-264,-16,-10,-9,-19,-37,-132,1743,313
2014-03-01,-21,-28,-266,-7,-87,-4,0,-1,-4,-67,-104,-1524,-48,-299,-30,-7,-6,-16,-47,-141,1934,381
2014-04-01,-10,-26,-271,-11,-87,-4,-4,-1,-1,-64,-103,-1473,-47,-313,-32,-16,-10,-23,-43,-160,1730,345
2014-05-01,-9,-17,-292,-9,-75,-5,-2,-1,-4,-42,-110,-1521,-41,-288,-41,-11,-18,-18,-47,-151,1773,341
2014-06-01,-7,-27,-250,-16,-87,-8,-1,-4,-3,-48,-94,-1458,-48,-337,-40,-19,-8,-28,-57,-163,1866,337
2014-07-01,-3,-32,-240,-10,-99,-6,0,-2,-5,-44,-112,-1426,-45,-303,-53,-13,-11,-31,-65,-205,2095,379
2014-08-01,-5,-20,-259,-10,-104,-7,0,0,-4,-48,-123,-1387,-55,-340,-39,-4,-15,-32,-47,-204,2218,423
2014-09-01,-7,-38,-236,-11,-95,-8,-2,-2,-6,-43,-109,-1413,-48,-363,-24,-8,-17,-38,-62,-184,2039,416
2014-10-01,-4,-42,-277,-8,-79,-3,0,-2,-4,-43,-126,-1432,-59,-332,-24,-16,-13,-39,-40,-163,2156,407
2014-11-01,-8,-35,-273,-7,-74,-3,0,-3,-7,-58,-128,-1430,-61,-318,-28,-11,-11,-35,-52,-172,1913,373
2014-12-01,-7,-33,-265,-14,-73,-3,0,-2,-7,-51,-110,-1450,-62,-302,-26,-12,-11,-34,-61,-198,1956,356
2015-01-01,-18,-38,-321,-8,-93,-3,0,-1,-3,-71,-109,-1791,-49,-310,-30,-8,-16,-32,-49,-182,1674,333
2015-02-01,-16,-30,-331,-7,-75,-3,-1,0,-2,-77,-90,-1739,-51,-289,-18,-11,-10,-21,-35,-146,1897,406
2015-03-01,-26,-35,-332,-9,-108,-5,0,-1,-5,-82,-127,-1864,-59,-366,-37,-8,-7,-19,-58,-178,1864,485
2015-04-01,-11,-29,-306,-12,-98,-5,-4,-1,-1,-73,-118,-1685,-54,-358,-37,-18,-12,-26,-49,-183,1922,432
2015-05-01,-10,-19,-331,-10,-85,-6,-2,-1,-5,-43,-113,-1565,-42,-296,-42,-11,-19,-19,-57,-141,1824,386
2015-06-01,-7,-28,-261,-17,-91,-8,-1,-4,-3,-48,-94,-1465,-48,-339,-40,-19,-8,-28,-55,-169,1933,417
2015-07-01,-3,-37,-277,-12,-114,-7,0,-2,-6,-46,-118,-1501,-47,-319,-56,-14,-12,-33,-66,-216,2331,508
2015-08-01,-5,-21,-277,-11,-111,-8,0,0,-4,-48,-123,-1386,-55,-340,-39,-4,-15,-32,-46,-193,2094,460
2015-09-01,-7,-39,-244,-11,-98,-8,-2,-2,-6,-44,-111,-1440,-49,-370,-24,-8,-17,-39,-57,-193,2151,605
2015-10-01,-4,-42,-279,-8,-80,-3,0,-2,-4,-45,-131,-1486,-61,-344,-25,-17,-14,-40,-41,-183,2468,488
2015-11-01,-8,-36,-280,-7,-76,-3,0,-3,-7,-56,-124,-1388,-59,-309,-27,-11,-11,-34,-54,-193,1588,432
2015-12-01,-8,-37,-300,-16,-83,-3,0,-2,-8,-62,-134,-1759,-75,-366,-32,-14,-13,-41,-67,-223,2205,519
2016-01-01,-10,-39,-310,-4,-87,-3,-2,-1,-8,-56,-126,-1682,-58,-331,-25,-27,-15,-19,-54,-236,1764,409
2016-02-01,-8,-34,-310,-6,-74,-2,-2,0,-4,-46,-125,-1478,-51,-346,-24,-16,-9,-24,-55,-249,1707,387
2016-03-01,-13,-31,-335,-15,-84,-6,0,-3,-7,-64,-136,-1683,-69,-418,-30,-11,-13,-35,-37,-228,1989,521
2016-04-01,-6,-21,-275,-8,-75,-1,0,-2,-2,-54,-138,-1430,-52,-364,-21,-12,-11,-18,-29,-199,1826,471
2016-05-01,-8,-35,-284,-11,-88,-4,-2,0,-3,-48,-119,-1462,-68,-336,-42,-18,-13,-30,-47,-253,1662,392
2016-06-01,-11,-35,-281,-16,-71,-8,0,-1,-3,-51,-120,-1624,-49,-361,-36,-10,-17,-20,-58,-214,1829,448
2016-07-01,-6,-25,-239,-7,-68,-11,0,-1,-8,-48,-108,-1356,-50,-365,-30,-4,-8,-29,-58,-226,2071,451
2016-08-01,-13,-43,-279,-15,-94,-4,0,-1,-10,-62,-144,-1448,-58,-385,-33,-9,-14,-36,-58,-273,2338,503
2016-09-01,-11,-31,-272,-11,-86,-8,0,-1,-9,-47,-115,-1251,-55,-361,-16,-10,-11,-43,-44,-196,2088,454
2016-10-01,-10,-33,-285,-11,-74,-4,0,-2,-11,-48,-138,-1372,-46,-327,-26,-7,-6,-36,-40,-181,1921,465
2016-11-01,-7,-31,-278,-13,-107,-5,0,-1,-5,-60,-149,-1523,-60,-382,-20,-12,-5,-44,-50,-235,2002,487
2016-12-01,-13,-25,-364,-6,-92,-4,0,0,-6,-64,-130,-1687,-76,-357,-21,-14,-10,-29,-40,-256,1798,421
2017-01-01,-12,-43,-369,-14,-83,-8,-1,-1,-2,-98,-135,-1881,-59,-342,-22,-25,-10,-27,-53,-260,1675,379
2017-02-01,-8,-19,-267,-14,-89,-7,-1,-1,-1,-40,-115,-1494,-43,-310,-18,-17,-5,-17,-32,-197,1501,396
2017-03-01,-5,-32,-306,-8,-92,-2,-1,-1,-9,-58,-141,-1488,-60,-374,-26,-9,-7,-21,-52,-211,1858,406
2017-04-01,-11,-18,-244,-12,-79,-1,0,-2,-4,-57,-114,-1314,-56,-347,-29,-11,-5,-21,-57,-170,1470,332
2017-05-01,-9,-24,-308,-11,-114,-10,-1,-3,-2,-57,-128,-1501,-62,-354,-34,-9,-7,-25,-52,-223,1643,417
2017-06-01,-8,-21,-239,-4,-93,-7,-1,-2,-4,-44,-100,-1414,-52,-367,-29,-3,-5,-21,-48,-254,1663,423
2017-07-01,-4,-22,-235,-9,-92,-5,0,-1,-5,-29,-99,-1149,-61,-296,-28,0,-9,-22,-55,-221,1840,373
2017-08-01,-14,-25,-310,-9,-76,-8,-4,-3,-2,-43,-101,-1668,-50,-388,-39,-6,-5,-47,-58,-257,2133,467
2017-09-01,-5,-22,-271,-7,-84,-6,0,-3,-5,-49,-119,-1170,-50,-362,-32,-5,-8,-44,-45,-210,1762,441
2017-10-01,-4,-27,-298,-9,-113,-5,-1,-2,-3,-39,-115,-1396,-43,-392,-20,-3,-15,-29,-34,-206,1849,393
2017-11-01,-5,-28,-269,-6,-95,-6,0,-1,-3,-43,-127,-1344,-46,-335,-22,-14,-7,-37,-37,-234,1807,408
2017-12-01,-2,-27,-248,-4,-93,-5,0,-3,-8,-54,-96,-1344,-53,-343,-24,-17,-5,-33,-38,-220,1761,410
2018-01-01,-3,-31,-316,-8,-89,-3,-1,0,-2,-63,-124,-1627,-56,-381,-26,-14,-8,-28,-48,-226,1712,380
2018-02-01,-7,-22,-260,-7,-82,0,0,0,-3,-59,-143,-1292,-41,-325,-17,-5,-12,-23,-41,-202,1572,339
2018-03-01,-8,-26,-278,-5,-90,-6,0,0,-4,-80,-133,-1373,-58,-381,-26,-15,-11,-14,-52,-320,1666,362
2018-04-01,-7,-24,-283,-15,-102,-4,0,0,-6,-65,-133,-1205,-47,-370,-35,-8,-8,-19,-48,-320,1363,318
2018-05-01,-11,-31,-290,-14,-93,-3,0,0,-3,-79,-137,-1247,-73,-404,-32,-2,-12,-21,-51,-405,1545,374
2018-06-01,-4,-26,-254,-10,-90,-1,0,0,-4,-79,-115,-967,-43,-333,-19,-4,-3,-39,-48,-436,1620,316
2018-07-01,-8,-15,-250,-7,-91,-2,0,-3,-3,-56,-115,-1041,-49,-385,-30,-2,-14,-36,-66,-427,1836,415
2018-08-01,-9,-22,-282,-8,-97,-9,-1,-2,-6,-82,-131,-1066,-57,-405,-25,-6,-6,-39,-55,-452,1989,452
2018-09-01,-4,-23,-235,-8,-93,-3,-1,-1,-5,-62,-122,-935,-56,-386,-16,-4,-10,-38,-44,-311,1812,374
2018-10-01,-9,-23,-324,-11,-97,-5,-1,-1,-2,-89,-149,-1241,-62,-378,-35,-7,-29,-35,-41,-343,1901,447
2018-11-01,-11,-37,-269,-5,-93,-5,0,0,-3,-96,-141,-1179,-49,-321,-20,-12,-6,-23,-49,-323,1698,379
2018-12-01,-8,-21,-297,-7,-95,-1,0,-1,-3,-65,-116,-1092,-49,-335,-30,-4,-15,-23,-47,-333,1552,338
2019-01-01,-13,-35,-361,-11,-103,-7,-2,0,-4,-84,-145,-1358,-48,-353,-29,-16,-10,-26,-58,-420,1591,361
